2389	keith gillespie	19750218	1.78	77	midfielder	larne  northern ireland	
12306	tal ben-haim	19820331	1.83	78	defender	rishon lezion  israel	
12276	gustavo nery	19770722	1.82	86	defender	nova friburgo  brazil	
2710	timo hildebrand	19790405	1.85	62	goalkeeper	worms  germany|worms  west germany	
903	raul albiol	19850904	1.90	100	defender	spain	
11152	danny simpson	19870104	1.76	75	defender	eccles  greater manchester|eccles  england	
12223	jonny evans	19880103	1.89	57	defender	belfast northern ireland	
4776	mark iuliano	19730812	1.91	80	defender	cosenza  italy	
10338	shaun maloney	19830124	1.70	77	midfielder	miri  malaysia	
12332	emre belozoglu	19800907	1.70	76	midfielder	?stanbul  turkey	
4537	danny murphy	19770318	1.75	69	midfielder	chester  england	
2843	lucas neill	19780309	1.85	68	defender	sydney  australia	
12256	noe pamarot	19790414	1.80	72	defender	fontenay-sous-bois  france	
2322	hayden mullins	19790327	1.83	72	midfielder	reading  berkshire|reading  england	
8427	kerrea gilbert	19870228	1.75	96	defender	willesden  england	
2831	wilfred bouma	19780615	1.79	83	defender	helmond  netherlands	
5579	shola ameobi	19811012	1.91	70	forwarder	zaria  nigeria	
12391	luke young	19790719	1.83	78	defender	harlow  england	
3630	ian harte	19770831	1.77	59	defender	drogheda  republic of ireland|ireland	
1492	lorenzo ariaudo	19890611	1.86	65	defender	turin  italy	
2909	marco delvecchio	19730407	1.85	84	forwarder	milan  italy	
4589	nigel de jong	19841130	1.73	72	midfielder	amsterdam  netherlands	
12265	pavel pardo	19760726	1.75	86	midfielder	guadalajara  jalisco  mexico	
8138	kevin nolan	19820624	1.83	72	midfielder	liverpool  england	
998	pascal cygan	19740429	1.91	95	defender	lens  pas-de-calais|lens  france	
12380	roberto carlos	19730410	1.81	85	defender	gar�a  s�o paulo  brazil	
3434	francesco totti	19760927	1.8	82	forwarder	rome  italy	
6739	john terry	19801207	1.87	90	goalkeeper	barking  london  england	
8288	gabriel zakuani	19860531	1.85	88	defender	kinshasa  zaire	
9356	piotr trochowski	19840322	1.69	89	midfielder	tczew  poland	
3567	pierre van hooijdonk	19691129	1.93	92	forwarder	steenbergen  netherlands	
7525	steve cronin	19830528	1.93	86	goalkeeper	sacramento  california  united states	
7119	f?bio	19790524	1.79	82	midfielder	fano  italy	
10361	victor anichebe	19880423	1.90	81	forwarder	lagos  nigeria	
11619	gennaro gattuso	19780109	1.77	103	midfielder	corigliano calabro  italy	
11540	brede hangeland	19810620	1.99	76	defender	houston  texas  united states	
10986	aaron lennon	19870416	1.70	98	forwarder	chapeltown  leeds|chapeltown  leeds  england	
12296	ricardo vaz te	19861001	1.88	67	defender	lisbon  portugal	
11286	christian abbiati	19770708	1.91	80	goalkeeper	abbiategrasso  italy	
4860	salomon kalou	19850805	1.86	65	forwarder	abidjan  ivory coast	
3706	clarence seedorf	19760401	1.94	76	midfielder	paramaribo  suriname	
12367	david murphy	19840301	1.87	183	defender	hartlepool  england	
771	andrea dossena	19810911	1.80	66	midfielder	lodi  lombardy|lodi  italy	
1673	jonathan greening	19790102	1.80	73	midfielder	scarborough  north yorkshire|scarborough  england	
8487	joe cole	19811108	1.76	81	midfielder	paddington  london  england	
3429	igor duljaj	19791029	1.75	96	midfielder	topola  socialist federal republic of yugoslavia|sfr yugoslavia	
6871	oliver neuville	19730501	1.71	92	forwarder	locarno  switzerland	
3026	daryl murphy	19830315	1.83	74	forwarder	waterford  republic of ireland|ireland	
12239	wayne bridge	19800805	1.80	65	defender	southampton england	
9947	darius vassell	19800613	1.76	103	forwarder	sutton coldfield  england	
11018	stipe pletikosa	19790108	1.93	68	goalkeeper	split (city)|split  sr croatia  socialist federal republic of yugoslavia|sfr yugoslavia	
1725	lassana diarra	19850310	1.73	87	midfielder	paris  france	
796	alberto aquilani	19840707	1.86	78	midfielder	rome  italy	
3624	ioannis amanatidis	19811203	1.83	99	forwarder	kozani  greece	
4904	justin mapp	19841018	1.80	60	midfielder	brandon  mississippi  united states	
8098	carlos vela	19890301	1.77	79	forwarder	cancún  mexico	
9184	emmanuel adebayor	19840226	1.94	91	forwarder	lomé  togo	
12320	robin van persie	19830806	1.83	62	forwarder	rotterdam  netherlands	
3585	gabriel batistuta	19690201	1.85	77	forwarder	reconquista  santa fe|reconquista  argentina	
10489	hakan yakin	19770222	1.80	64	forwarder	basel  switzerland	
604	barry ferguson	19780202	1.78	71	midfielder	hamilton  south lanarkshire|hamilton  scotland	
12183	juninho	19750130	1.99	82	midfielder	recife brazil	
